Fish,Fish_Scientific,Fish_Family,Status_2023,Aphia_ID,GBIF_ID,List_2010,List_2011,List_2012,List_2013,List_2014,List_2015,List_2017,List_2018,List_2021,List_2023,Notes
Doctorfish Surgeonfish,Acanthurus chirurgus,Acanthuridae,Accepted,159580,5209174,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Blue Tang Surgeonfish,Acanthurus coeruleus,Acanthuridae,Accepted,159581,5209188,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Ocean Surgeonfish,Acanthurus tractus,Acanthuridae,Accepted,301914,5209182,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Black Margate Grunt,Anisotremus surinamensis,Haemulidae,Accepted,279623,2382615,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Porkfish Grunt,Anisotremus virginicus,Haemulidae,Accepted,279625,2382596,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Queen Triggerfish,Balistes vetula,Balistidae,Accepted,127397,2407103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Spanish Hogfish,Bodianus rufus,Labridae,Accepted,273541,5209687,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Whitespotted Filefish,Cantherhines macrocerus,Monacanthidae,Accepted,276250,2406957,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Orangespotted Filefish,Cantherhines pullus,Monacanthidae,Accepted,159493,2406961,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Ocean Triggerfish,Canthidermis sufflamen,Balistidae,Accepted,127399,2407087,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Bar Jack,Caranx ruber,Carangidae,Accepted,302432,2390989,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Graysby Seabass,Cephalopholis cruentata,Serranidae,Accepted,279146,2388866,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Coney Seabass,Cephalopholis fulva,Serranidae,Accepted,279148,2388809,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Foureye Butterflyfish,Chaetodon capistratus,Chaetodontidae,Accepted,159661,2385548,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Spotfin Butterflyfish,Chaetodon ocellatus,Chaetodontidae,Accepted,159662,2385448,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Reef Butterflyfish,Chaetodon sedentarius,Chaetodontidae,Accepted,234107,2385404,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Banded Butterflyfish,Chaetodon striatus,Chaetodontidae,Accepted,159663,7906686,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Rock Hind Seabass,Epinephelus adscensionis,Serranidae,Accepted,159351,2388519,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Red hind Seabass,Epinephelus guttatus,Serranidae,Accepted,159352,2388558,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Red Grouper,Epinephelus morio,Serranidae,Accepted,159354,2388373,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Nassau Seabass,Epinephelus striatus,Serranidae,Accepted,159222,2388300,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Goliath Grouper,Epinephelus itajara,Serranidae,Accepted,159354,2388456,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
White Margate Grunt,Haemulon album,Haemulidae,Accepted,275721,2382523,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Tomtate Grunt,Haemulon aurolineatum,Haemulidae,Accepted,158807,2382528,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Caesar Grunt,Haemulon carbonarium,Haemulidae,Accepted,275724,2382506,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Smallmouth Grunt,Haemulon chrysargyreum,Haemulidae,Unaccepted,275725,2382524,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Superseded combination, Brachygenys chrysargyreum (Günther, 1859)"
French Grunt,Haemulon flavolineatum,Haemulidae,Accepted,275727,2382521,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Spanish Grunt,Haemulon macrostomum,Haemulidae,Accepted,275728,2382517,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Cottonwick Grunt,Haemulon melanurum,Haemulidae,Accepted,275730,2382540,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Sailors Choice Grunt,Haemulon parra,Haemulidae,Accepted,275731,2382511,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
White Grunt,Haemulon plumierii,Haemulidae,Accepted,158808,2382537,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Bluestriped Grunt,Haemulon sciurus,Haemulidae,Accepted,275733,2382543,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Blue Angelfish,Holacanthus bermudensis,Pomacanthidae,Accepted,159284,5211460,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Queen Angelfish,Holacanthus ciliaris,Pomacanthidae,Accepted,276012,5211452,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Rock Beauty Angelfish,Holacanthus tricolor,Pomacanthidae,Accepted,276017,5211450,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Hogfish,Lachnolaimus maximus,Labridae,Accepted,158822,2383618,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Mutton Snapper,Lutjanus analis,Lutjanidae,Accepted,159792,2384981,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Schoolmaster Snapper,Lutjanus apodus,Lutjanidae,Accepted,159793,2384922,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Cubera Snapper,Lutjanus cyanopterus,Lutjanidae,Accepted,159796,2385052,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Gray Snapper,Lutjanus griseus,Lutjanidae,Accepted,159797,2384986,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Dog Snapper,Lutjanus jocu,Lutjanidae,Accepted,159798,2384948,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Mahogany Snapper,Lutjanus mahogoni,Lutjanidae,Accepted,159799,2385023,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Lane Snapper,Lutjanus synagris,Lutjanidae,Accepted,159800,2384837,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Black Durgon Triggerfish,Melichthys niger,Balistidae,Accepted,219881,2407141,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Yellowtail Damselfish,Microspathodon chrysurus,Pomacentridae,Accepted,281571,2398749,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Black Seabass,Mycteroperca bonaci,Serranidae,Accepted,159231,2389013,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Yellowmouth Seabass,Mycteroperca interstitialis,Serranidae,Accepted,273878,2389044,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Tiger Seabass,Mycteroperca tigris,Serranidae,Accepted,273884,2389021,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Yellowfin Seabass,Mycteroperca venenosa,Serranidae,Accepted,273885,2389034,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae,Accepted,159803,2385282,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Gray Angelfish,Pomacanthus arcuatus,Pomacanthidae,Accepted,159287,2396435,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
French Angelfish,Pomacanthus paru,Pomacanthidae,Accepted,276025,2396447,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Longsnout Butterflyfish,Prognathodes aculeatus,Chaetodontidae,Accepted,273369,2385596,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Midnight Parrotfish,Scarus coelestinus,Scaridae,Accepted,276042,2393609,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Blue Parrotfish,Scarus coeruleus,Scaridae,Accepted,159300,9811485,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Rainbow Parrotfish,Scarus guacamaia,Scaridae,Accepted,276049,2393779,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Striped Parrotfish,Scarus iseri,Scaridae,Accepted,276052,2393654,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Princess Parrotfish,Scarus taeniopterus,Scaridae,Accepted,276062,2393734,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Queen Parrotfish,Scarus vetula,Scaridae,Accepted,276064,2393681,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Greenblotch Parrotfish,Sparisoma atomarium,Scaridae,Accepted,273771,2393934,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Redband Parrotfish,Sparisoma aurofrenatum,Scaridae,Accepted,27377,2393918,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Redtail Parrotfish,Sparisoma chrysopterum,Scaridae,Accepted,273774,2393900,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Yellowtail Parrotfish,Sparisoma rubripinne,Scaridae,Accepted,159301,2393924,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Stoplight Parrotfish,Sparisoma viride,Scaridae,Accepted,273780,2393894,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Barracuda,Sphyraena barracuda,Sphyraenidae,Accepted,345843,9784990,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Yellowhead Wrasse,Halichoeres garnoti,Labridae,Accepted,275764,2384162,No,No,No,No,No,No,No,No,Yes,Yes,
Threespot Damselfish,Stegastes planifrons,Pomacentridae,Accepted,276679,2398894,No,No,No,No,No,No,No,No,No,Yes,
Slippery Dick Wrasse,Halichoeres bivittatus,Labridae,Accepted,158815,2384268,No,No,No,No,No,No,No,No,Yes,Yes,
Puddingwife Wrasse,Halichoeres radiatus,Labridae,Accepted,275793,2384111,No,No,No,No,No,No,No,No,Yes,Yes,
Sheepshead Porgy,Calamus penna,Sparidae,Accepted,159245,5211002,No,No,No,No,No,No,No,No,Yes,Yes,
Saucereye Porgy,Calamus calamus,Sparidae,Accepted,159242,5210995,No,No,No,No,No,No,No,No,Yes,Yes,
Lionfish,Pterois volitans,Scorpaenidae,Accepted,159559,2334438,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
